mark_id,student_id,class_name,gender,subject,test_name,date_taken,marks_obtained,total_marks,percentage,previous_subject_percentage,subject_average,overall_average,attendance_percentage,risk_label,class,current_score,attendance,overall_avg,subject_avg,instruction,guidance
,,,,Physics,,,,,,,,,,sudden_drop,10A,65.0,71.0,,,"Class: 10A, Subject: Physics, Score: 65% (previous: 95%), Attendance: 71%, Overall avg: 72%, Subject avg: 80%.",Amit's Physics dropped 30 points suddenly (95% → 65%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Physics,,,,,,,,,,gradual_decline,10A,,64.0,,,"Class: 10A, Subject: Physics, Scores history: 77% → 70% → 61%. Attendance: 64%, Overall avg: 59%, Subject avg: 69%.",Physics scores declining steadily: 77% → 70% → 61%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,Biology,,,,,,,,,,subject_weakness,8B,56.0,84.0,81.0,,"Class: 8B, Subject: Biology, Score: 56%, Attendance: 84%, Overall avg: 81%, Subject avg: 56%.",Student excels generally (81% overall) but struggles in Biology (56% average). Biology seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Biology materials 4) Bi-weekly progress tests 5) Peer mentoring in Biology.
,,,,Math,,,,,,,,,,subject_weakness,9B,59.0,84.0,74.0,,"Class: 9B, Subject: Math, Score: 59%, Attendance: 84%, Overall avg: 74%, Subject avg: 59%.",Clear strength-weakness pattern: 74% average overall but only 59% in Math. Math is holding back potential. CORRECTIVE MEASURES: 1) Immediate Math tutoring start 2) Master fundamentals first 3) Daily 20-30 min focused practice 4) Problem-solving competitions to build confidence 5) Re-test after 2 weeks.
,,,,History,,,,,,,,,,sudden_drop,9A,52.0,71.0,,,"Class: 9A, Subject: History, Score: 52% (previous: 74%), Attendance: 71%, Overall avg: 53%, Subject avg: 63%.",Amit's History dropped 22 points suddenly (74% → 52%). This large drop suggests struggling with specific content or personal issues. IMMEDIATE ACTION: 1) Identify the struggling topic urgently 2) Schedule one-on-one tutoring session this week 3) Assign targeted practice problems on weak areas 4) Follow up with student on any personal challenges.
,,,,Physics,,,,,,,,,,no_risk,9A,82.0,96.0,77.0,,"Class: 9A, Subject: Physics, Score: 82%, Attendance: 96%, Overall avg: 77%.",✅ Outstanding Physics achievement (82%). Consistent excellence demonstrated. OPPORTUNITIES: 1) Fast-track to advanced topics 2) Subject-specific clubs/competitions 3) Advanced placement consideration 4) Leverage as strength subject.
,,,,Biology,,,,,,,,,,sudden_drop,10B,41.0,83.0,,,"Class: 10B, Subject: Biology, Score: 41% (previous: 71%), Attendance: 83%, Overall avg: 54%, Subject avg: 56%.",Biology 30% sudden drop with 83% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,Biology,,,,,,,,,,no_risk,10B,78.0,91.0,76.0,,"Class: 10B, Subject: Biology, Score: 78%, Attendance: 91%, Overall avg: 76%.",✅ Excellent performance in Biology (78%). Keep up strong work! RECOMMENDATIONS: 1) Introduce advanced challenge problems 2) Expand to Olympic-level content 3) Peer tutoring for struggling classmates 4) Consider subject specialization for competitive exams.
,,,,Social Studies,,,,,,,,,,subject_weakness,9A,59.0,76.0,76.0,,"Class: 9A, Subject: Social Studies, Score: 59%, Attendance: 76%, Overall avg: 76%, Subject avg: 59%.",Student performing well (76%) except Social Studies (59% average). Need Social Studies specialization. PLAN: 1) One-on-one Social Studies coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for Social Studies 5) Weekly check-ins to track Social Studies improvement.
,,,,Physics,,,,,,,,,,gradual_decline,8A,,63.0,,,"Class: 8A, Subject: Physics, Scores history: 89% → 80% → 68%. Attendance: 63%, Overall avg: 69%, Subject avg: 79%.",Downward trend in Physics: 89% → 80% → 68%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Social Studies,,,,,,,,,,subject_weakness,10B,46.0,77.0,79.0,,"Class: 10B, Subject: Social Studies, Score: 46%, Attendance: 77%, Overall avg: 79%, Subject avg: 46%.",Social Studies underperformance (46%) despite strong overall 79% average indicates specific subject difficulty. ACTION: 1) Hire specialized Social Studies tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Social Studies chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Biology,,,,,,,,,,no_risk,9B,87.0,95.0,90.0,,"Class: 9B, Subject: Biology, Score: 87%, Attendance: 95%, Overall avg: 90%.",✅ Biology mastery shown (87% with 95% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Biology 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Chemistry,,,,,,,,,,gradual_decline,8A,,83.0,,,"Class: 8A, Subject: Chemistry, Scores history: 79% → 70% → 61%. Attendance: 83%, Overall avg: 62%, Subject avg: 70%.",3-test Chemistry decline pattern: 79% → 70% → 61%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Math,,,,,,,,,,sudden_drop,9B,40.0,56.0,,,"Class: 9B, Subject: Math, Score: 40% (previous: 75%), Attendance: 56%, Overall avg: 56%, Subject avg: 57%.",Math performance fell 35 points abruptly. This significant decline requires prompt intervention. ACTION PLAN: 1) Review recent Math lessons together 2) Create a focused study schedule 3) Arrange peer tutoring or additional support 4) Monitor next test carefully for improvement signs.
,,,,Physics,,,,,,,,,,no_risk,10A,77.0,99.0,76.0,,"Class: 10A, Subject: Physics, Score: 77%, Attendance: 99%, Overall avg: 76%.",✅ Physics mastery shown (77% with 99% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Physics 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Chemistry,,,,,,,,,,gradual_decline,8A,,61.0,,,"Class: 8A, Subject: Chemistry, Scores history: 88% → 78% → 68%. Attendance: 61%, Overall avg: 82%, Subject avg: 78%.","Chemistry performance declining (88% → 78% → 68%). With 61% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,English,,,,,,,,,,gradual_decline,8A,,62.0,,,"Class: 8A, Subject: English, Scores history: 84% → 78% → 72%. Attendance: 62%, Overall avg: 76%, Subject avg: 78%.",Downward trend in English: 84% → 78% → 72%. Student losing momentum. CORRECTIVE STEPS: 1) Increase practice frequency 2) Find study partner or tutor 3) Break complex topics into smaller parts 4) Daily revision schedule starting tomorrow 5) Re-motivate with positive reinforcement.
,,,,Physics,,,,,,,,,,gradual_decline,8A,,67.0,,,"Class: 8A, Subject: Physics, Scores history: 85% → 80% → 73%. Attendance: 67%, Overall avg: 66%, Subject avg: 79%.","Physics performance declining (85% → 80% → 73%). With 67% attendance, need to identify barriers. SOLUTION: 1) Review lecture notes missed (if attendance issue) 2) Intensive tutoring 3) Practice past papers 4) Check if personal/health issues affecting study."
,,,,History,,,,,,,,,,gradual_decline,8B,,70.0,,,"Class: 8B, Subject: History, Scores history: 83% → 73% → 67%. Attendance: 70%, Overall avg: 64%, Subject avg: 74%.",History scores declining steadily: 83% → 73% → 67%. This gradual slip could lead to bigger problems if not addressed. PLAN: 1) Identify exact topics causing decline 2) Daily focused practice on weak areas 3) Bi-weekly assessments to track progress 4) Parent communication about support at home.
,,,,History,,,,,,,,,,subject_weakness,10B,60.0,91.0,80.0,,"Class: 10B, Subject: History, Score: 60%, Attendance: 91%, Overall avg: 80%, Subject avg: 60%.",History underperformance (60%) despite strong overall 80% average indicates specific subject difficulty. ACTION: 1) Hire specialized History tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each History chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Science,,,,,,,,,,no_risk,10A,92.0,91.0,91.0,,"Class: 10A, Subject: Science, Score: 92%, Attendance: 91%, Overall avg: 91%.",✅ Science mastery shown (92% with 91% attendance). Stable and reliable performance. ENHANCEMENT: 1) Move to advanced curriculum 2) Project-based learning in Science 3) Mentoring weaker students 4) Competitive exam preparation.
,,,,Math,,,,,,,,,,gradual_decline,9B,,86.0,,,"Class: 9B, Subject: Math, Scores history: 76% → 67% → 58%. Attendance: 86%, Overall avg: 57%, Subject avg: 67%.",3-test Math decline pattern: 76% → 67% → 58%. Intervention needed before trend worsens. APPROACH: 1) Detailed chapter-wise weakness analysis 2) Targeted exercise sheets daily 3) Concept clarification sessions 4) Progress tracking with weekly tests.
,,,,Social Studies,,,,,,,,,,sudden_drop,9B,60.0,60.0,,,"Class: 9B, Subject: Social Studies, Score: 60% (previous: 95%), Attendance: 60%, Overall avg: 71%, Subject avg: 77%.",Social Studies 35% sudden drop with 60% attendance detected. INTERVENTION: 1) If attendance issue: mandatory attendance plan 2) If academic: intensive tutoring + daily practice 3) If personal: counseling referral 4) Reassess after 1 week.
,,,,History,,,,,,,,,,subject_weakness,9A,54.0,91.0,78.0,,"Class: 9A, Subject: History, Score: 54%, Attendance: 91%, Overall avg: 78%, Subject avg: 54%.",Student performing well (78%) except History (54% average). Need History specialization. PLAN: 1) One-on-one History coaching 2) Identify exact weak topics 3) Step-by-step problem solving practice 4) Visual learning materials for History 5) Weekly check-ins to track History improvement.
,,,,Chemistry,,,,,,,,,,subject_weakness,9B,55.0,85.0,80.0,,"Class: 9B, Subject: Chemistry, Score: 55%, Attendance: 85%, Overall avg: 80%, Subject avg: 55%.",Chemistry underperformance (55%) despite strong overall 80% average indicates specific subject difficulty. ACTION: 1) Hire specialized Chemistry tutor 2) Practice 30+ problems weekly in weak topics 3) Concept map creation for each Chemistry chapter 4) Monitor confidence levels 5) Adjust learning method if needed.
,,,,Physics,,,,,,,,,,subject_weakness,8A,51.0,88.0,80.0,,"Class: 8A, Subject: Physics, Score: 51%, Attendance: 88%, Overall avg: 80%, Subject avg: 51%.",Student excels generally (80% overall) but struggles in Physics (51% average). Physics seems to be learning block. INTENSIVE PLAN: 1) Root cause analysis (anxiety? conceptual block?) 2) Behavior-specific tutoring 3) Simplified Physics materials 4) Bi-weekly progress tests 5) Peer mentoring in Physics.
,,,,Social Studies,,,,,,,,,,gradual_decline,8B,,74.0,,,"Class: 8B, Subject: Social Studies, Scores history: 80% → 72% → 64%. Attendance: 74%, Overall avg: 66%, Subject avg: 72%.",Gradual Social Studies decline detected: 80% → 72% → 64%. Pattern shows consistent downward trend across 3 tests. ACTION: 1) Root cause analysis (fatigue? difficult content?) 2) Stop decline immediately through targeted practice 3) Weekly mini-tests to track recovery 4) Adjust study methods if current approach failing.
,,,,History,,,,,,,,,,no_risk,9A,84.0,99.0,79.0,,"Class: 9A, Subject: History, Score: 84%, Attendance: 99%, Overall avg: 79%.",✅ History performing at 84% - exactly where we want to see! Strong foundations with 99% attendance. SUGGESTIONS: 1) Introduce enrichment materials 2) Problem-solving challenges 3) Subject clubs participation 4) Consider as career-path indicator.
